Date,BAB
12/1/1930,99.88627398
12/2/1930,99.11961667
12/3/1930,99.05024581
12/4/1930,100.4952512
12/5/1930,101.2281689
12/6/1930,100.7148087
12/8/1930,101.618004
12/9/1930,101.0238332
12/10/1930,101.3086636
12/11/1930,100.9716977
12/12/1930,100.9328167
12/13/1930,100.9696787
12/15/1930,101.2771201
12/16/1930,101.5249264
12/17/1930,99.39598862
12/18/1930,98.53620929
12/19/1930,98.54014938
12/20/1930,97.88334471
12/22/1930,98.13919545
12/23/1930,99.32614635
12/24/1930,98.73763237
12/26/1930,100.706472
12/27/1930,100.7118884
12/29/1930,101.0825821
12/30/1930,100.0193679
12/31/1930,99.56225755
1/2/1931,97.41421155
1/3/1931,95.81006603
1/5/1931,96.40176361
1/6/1931,95.63211416
1/7/1931,97.34556706
1/8/1931,96.64529249
1/9/1931,96.6302853
1/10/1931,97.61329668
1/12/1931,96.40196357
1/13/1931,96.3604281
1/14/1931,97.04958864
1/15/1931,96.081799
1/16/1931,96.28722393
1/17/1931,97.22346812
1/19/1931,97.2356184
1/20/1931,96.96330377
1/21/1931,96.93552785
1/22/1931,96.16020255
1/23/1931,95.9716186
1/24/1931,96.82116532
1/26/1931,97.00734395
1/27/1931,97.52253419
1/28/1931,97.42776433
1/29/1931,96.91165582
1/30/1931,97.07401456
1/31/1931,97.6619242
2/2/1931,96.70011784
2/3/1931,97.786884
2/4/1931,96.87099642
2/5/1931,97.46036619
2/6/1931,97.19996897
2/7/1931,97.37104899
2/9/1931,97.85294
2/10/1931,97.28608989
2/11/1931,96.11724125
2/13/1931,95.94134509
2/14/1931,96.42114984
2/16/1931,95.55175684
2/17/1931,95.48472313
2/18/1931,95.81930506
2/19/1931,94.66694373
2/20/1931,92.20793437
2/21/1931,91.01478655
2/24/1931,90.32811546
2/25/1931,90.6878729
2/26/1931,90.28991628
2/27/1931,90.0517705
2/28/1931,90.61277386
3/2/1931,90.76163967
3/3/1931,90.61146098
3/4/1931,90.62635948
3/5/1931,90.26794807
3/6/1931,90.183517
3/7/1931,90.55834535
3/9/1931,90.16003839
3/10/1931,90.18686699
3/11/1931,90.61037953
3/12/1931,90.93436294
3/13/1931,92.0007988
3/14/1931,91.74916242
3/16/1931,90.81190973
3/17/1931,90.73135845
3/18/1931,90.55760829
3/19/1931,89.58903789
3/20/1931,90.38950263
3/21/1931,90.44692186
3/23/1931,90.51335596
3/24/1931,91.08314647
3/25/1931,90.5622018
3/26/1931,90.38086871
3/27/1931,91.42735433
3/28/1931,91.50905027
3/30/1931,92.45522347
3/31/1931,92.9662248
4/1/1931,92.11483339
4/2/1931,91.92388596
4/4/1931,91.84336029
4/6/1931,91.09081386
4/7/1931,92.70421858
4/8/1931,92.82918639
4/9/1931,92.7157318
4/10/1931,92.44008736
4/11/1931,92.29964527
4/13/1931,91.68864237
4/14/1931,92.37417985
4/15/1931,91.85209587
4/16/1931,93.28299699
4/17/1931,93.70019587
4/18/1931,94.0115991
4/20/1931,93.49090761
4/21/1931,94.03478959
4/22/1931,94.11169661
4/23/1931,93.27909905
4/24/1931,93.62430317
4/25/1931,93.78859033
4/27/1931,93.42136308
4/28/1931,93.97923239
4/29/1931,93.01555698
4/30/1931,91.62865852
5/1/1931,91.78240597
5/2/1931,91.41153049
5/4/1931,92.29708027
5/5/1931,91.54857306
5/6/1931,91.63787396
5/7/1931,92.55891757
5/8/1931,91.37607135
5/9/1931,90.9800184
5/11/1931,91.29216104
5/12/1931,91.89257695
5/13/1931,91.66160267
5/14/1931,91.84730444
5/15/1931,91.54165376
5/16/1931,91.3940967
5/18/1931,91.17227428
5/19/1931,91.74156903
5/20/1931,90.92871395
5/21/1931,91.08711656
5/22/1931,91.68966872
5/23/1931,91.25852429
5/25/1931,91.57434821
5/26/1931,90.79616553
5/27/1931,91.4087028
5/28/1931,91.1763516
5/29/1931,91.35120374
6/1/1931,91.74284051
6/2/1931,91.56385064
6/3/1931,91.35905781
6/4/1931,91.04152128
6/5/1931,90.4623536
6/6/1931,90.89889902
6/8/1931,90.08997971
6/9/1931,90.20019008
6/10/1931,90.64169575
6/11/1931,90.22593598
6/12/1931,90.75480926
6/13/1931,90.59740239
6/15/1931,89.79754233
6/16/1931,89.55286097
6/17/1931,90.24877447
6/18/1931,90.46732925
6/19/1931,90.53153831
6/20/1931,89.99329418
6/22/1931,89.0149376
6/23/1931,88.01255425
6/24/1931,85.13605743
6/25/1931,85.0601636
6/26/1931,82.2686391
6/27/1931,81.19742844
6/29/1931,82.46904121
6/30/1931,83.5323738
7/1/1931,82.79965915
7/2/1931,83.19757928
7/3/1931,82.29770706
7/6/1931,83.56459077
7/7/1931,85.11214754
7/8/1931,85.70027974
7/9/1931,85.65389275
7/10/1931,84.61443465
7/11/1931,85.01430883
7/13/1931,85.85971929
7/14/1931,86.14317424
7/15/1931,86.54747964
7/16/1931,86.0677872
7/17/1931,85.63343355
7/18/1931,85.31515795
7/20/1931,85.1653636
7/21/1931,84.44114198
7/22/1931,84.85374717
7/23/1931,85.28594264
7/24/1931,85.68320004
7/25/1931,85.54324705
7/27/1931,85.21333687
7/28/1931,84.91388606
7/29/1931,85.40510717
7/30/1931,84.86638289
7/31/1931,84.68203295
8/1/1931,84.8104737
8/3/1931,85.72913874
8/4/1931,84.52261206
8/5/1931,85.63919874
8/6/1931,84.8417765
8/7/1931,84.95093945
8/8/1931,85.34438455
8/10/1931,85.77398975
8/11/1931,85.42210348
8/12/1931,85.228647
8/13/1931,84.95633458
8/14/1931,84.83190821
8/15/1931,84.56754045
8/17/1931,85.01379173
8/18/1931,84.86292383
8/19/1931,84.59734015
8/20/1931,84.148993
8/21/1931,85.38557387
8/22/1931,85.70586185
8/24/1931,85.44868032
8/25/1931,85.25415767
8/26/1931,85.74570519
8/27/1931,85.10928687
8/28/1931,85.11016538
8/29/1931,84.93692417
8/31/1931,85.42240236
9/1/1931,85.48843578
9/2/1931,85.76660451
9/3/1931,85.94298895
9/4/1931,86.5229792
9/8/1931,86.80556084
9/9/1931,86.5410333
9/10/1931,86.88520302
9/11/1931,86.34893186
9/12/1931,86.43886435
9/14/1931,85.95160541
9/15/1931,86.59163328
9/16/1931,86.47536688
9/17/1931,87.20386001
9/18/1931,85.57129463
9/19/1931,85.7740936
9/21/1931,84.65354466
9/22/1931,84.25417368
9/23/1931,84.0194422
9/24/1931,82.66986016
9/25/1931,81.97625635
9/26/1931,82.03661314
9/28/1931,82.37186051
9/29/1931,81.66319296
9/30/1931,81.34117289
10/1/1931,80.46546405
10/2/1931,79.09032478
10/3/1931,78.99123227
10/5/1931,77.90519098
10/6/1931,77.50332453
10/7/1931,76.0779226
10/8/1931,74.77676453
10/9/1931,74.60821412
10/10/1931,74.39578122
10/13/1931,74.64807424
10/14/1931,75.95337289
10/15/1931,75.91623915
10/16/1931,75.98795822
10/17/1931,76.34153554
10/19/1931,76.40675579
10/20/1931,75.83129637
10/21/1931,76.14410669
10/22/1931,77.00799056
10/23/1931,75.78200672
10/24/1931,75.5243376
10/26/1931,76.27593067
10/27/1931,76.4412414
10/28/1931,76.60093472
10/29/1931,76.67827055
10/30/1931,76.56525244
10/31/1931,76.96525232
11/2/1931,76.52821044
11/4/1931,76.00155083
11/5/1931,76.3212124
11/6/1931,75.28552889
11/7/1931,74.18618491
11/9/1931,74.11277151
11/10/1931,75.16564774
11/11/1931,76.01731711
11/12/1931,75.86773818
11/13/1931,76.88817962
11/14/1931,77.30688219
11/16/1931,76.38017319
11/17/1931,75.96714353
11/18/1931,77.07511625
11/19/1931,77.17909708
11/20/1931,77.29791813
11/21/1931,77.93172666
11/23/1931,78.76071994
11/24/1931,78.22586667
11/25/1931,78.46451391
11/27/1931,78.50804747
11/28/1931,77.59556783
11/30/1931,77.47406823
12/1/1931,78.73946559
12/2/1931,80.35995564
12/3/1931,79.72472846
12/4/1931,80.07624473
12/5/1931,80.60278341
12/7/1931,79.52087633
12/8/1931,79.79486463
12/9/1931,79.16812248
12/10/1931,78.87753502
12/11/1931,78.32919064
12/12/1931,77.98597761
12/14/1931,77.5724494
12/15/1931,76.14347781
12/16/1931,75.58248301
12/17/1931,74.45172645
12/18/1931,72.6106998
12/19/1931,74.05097388
12/21/1931,73.88248279
